# Wavelength(AA) FluxDensity(erg/s/cm^2/AA) FluxDensityError(erg/s/cm^2/AA)
2.164015737945454021e+04 7.569379239577005814e-21 5.532457686863295522e-22
2.181457477114221547e+04 7.631404517317325582e-21 5.325456643592191496e-22
2.198800707089205025e+04 6.572594332190160788e-21 5.323224716450086070e-22
2.216045875220521702e+04 6.437263292958333204e-21 5.235514625731546504e-22
2.233193192386806550e+04 4.508354908773127120e-21 4.776757332595045968e-22
2.250244905730956816e+04 5.361566767373550646e-21 5.142848425843868597e-22
2.267198973588335502e+04 5.264146459074330500e-21 4.959766760217455467e-22
2.284059083822495086e+04 5.611244687256099341e-21 4.977931095263407290e-22
2.300824575617998562e+04 5.720380839645250836e-21 5.128100767048934528e-22
2.317495917688689224e+04 4.827770154558013635e-21 4.744702053711152876e-22
2.334075472668732618e+04 5.338242241424986638e-21 4.859190288365213383e-22
2.350563103246951505e+04 4.570847969538941945e-21 4.056148876817288398e-22
2.366958937142902141e+04 6.425194602141827272e-21 4.457637066093005859e-22
2.383265389297608635e+04 4.891906794003072218e-21 4.591923153514694166e-22
2.399483251349578495e+04 4.617479111509005159e-21 4.416481552390987505e-22
2.415612378366911798e+04 4.555488484611908719e-21 4.597100431952280806e-22
2.431653729568703056e+04 6.409462189621454964e-21 4.708283780392934642e-22
2.447609096477727508e+04 5.048380336372340053e-21 4.178430720220514374e-22
2.463479320762588395e+04 4.673640687602452460e-21 4.207462385345301777e-22
2.479265252350180526e+04 3.519604851246368977e-21 4.130864146998949219e-22
2.494967747989921554e+04 3.922027391164349083e-21 3.897942669543315763e-22
2.510586765900737009e+04 4.059244637929573137e-21 3.889068992046943209e-22
2.526124072741840791e+04 3.595431539095507626e-21 3.995731217010867006e-22
2.541580679985141614e+04 3.514095042628068499e-21 3.541577569734567658e-22
2.556957457693934703e+04 3.879601054100056441e-21 3.391316183785588245e-22
2.572255276874939955e+04 3.988535452767187027e-21 3.604580922587640124e-22
2.587475008578119014e+04 4.379562709508357679e-21 3.478886832011639493e-22
2.602617523066115973e+04 3.755197516650145383e-21 3.540699811088508290e-22
2.617683689046612926e+04 3.933296474886439752e-21 3.934203844465000683e-22
2.632674372966161536e+04 4.044217402920509184e-21 3.819769598432411673e-22
2.647590438359458858e+04 3.681050033614345746e-21 3.581098768163747171e-22
2.662432745252550740e+04 4.881160041375640005e-21 3.371171575459497861e-22
2.677202149614173686e+04 5.774204019812205815e-21 3.470458972830506903e-22
2.691899502855148967e+04 5.066487389907138262e-21 3.968215071369992853e-22
2.706525651369042680e+04 4.615635801274239034e-21 4.231162337674213121e-22
2.721081436115080214e+04 5.119158200030141159e-21 3.484340469821913139e-22
2.735567692237308438e+04 4.962177087766787849e-21 3.513587435301263499e-22
2.749985128583194455e+04 4.771861885626011708e-21 3.482781088506388885e-22
2.764333733941140963e+04 4.175685786755804030e-21 3.922349330735424457e-22
2.778615172012294715e+04 4.230764242995201881e-21 3.240906255579603830e-22
2.792830253752477438e+04 3.756928350946735292e-21 3.312952763441209564e-22
2.806979782880350831e+04 4.893467029302496037e-21 3.691959006849449686e-22
2.821064555674033909e+04 4.550441873481714433e-21 3.622023329729505525e-22
2.835085360790546838e+04 4.529203570830142067e-21 3.570829869174899962e-22
2.849041321140723448e+04 3.885603990879384655e-21 3.589756743544396010e-22
2.862934732219352009e+04 3.916129557924130051e-21 3.100354270530487677e-22
2.876766403108957093e+04 4.126476441798813560e-21 3.590857753101008174e-22
2.890537092718690474e+04 4.725111161671559775e-21 2.985920876133304587e-22
2.904246237143777398e+04 4.873513186508016740e-21 3.062005973301246776e-22
2.917895036368840738e+04 5.243102777083569781e-21 3.018046460567187105e-22
2.931484997929840756e+04 5.088853456109027517e-21 3.501842675806448069e-22
2.945016777019762230e+04 4.561282366161353734e-21 3.420695823355380938e-22
2.958488795255687728e+04 4.653486148961648868e-21 3.598061356945623749e-22
2.971904055457804498e+04 4.471561868144750527e-21 3.373317372425795471e-22
2.985263261710568986e+04 4.510711750283564972e-21 3.301891201716182584e-22
2.998564731635328280e+04 4.939188773369493570e-21 3.471301371772523083e-22
3.011811138478173962e+04 4.677342155358802008e-21 3.389873557608551994e-22
3.025003386897387827e+04 4.495583395198134715e-21 3.393271444680409121e-22
3.038139402021041315e+04 4.399846386566723441e-21 3.462099305048356886e-22
3.051222622252457222e+04 3.718435877521325946e-21 3.275663108768842667e-22
3.064252430662303595e+04 4.912300382088971469e-21 3.246958253742379277e-22
3.077228860804784199e+04 4.612479190372933629e-21 3.431397468369665233e-22
3.090154379118589713e+04 4.393265616861847755e-21 3.144273511313790688e-22
3.103026444641230773e+04 5.025911328060432118e-21 3.178972921749634132e-22
3.115848658194063682e+04 5.524084155433910842e-21 3.048161524242188235e-22
3.128619536699610399e+04 5.464567288743151544e-21 2.901744889106569338e-22
3.141340657163845026e+04 4.901664199088382100e-21 3.385694115609977578e-22
3.154012216177716618e+04 5.476841790744840538e-21 3.093952843697193237e-22
3.166634408190517934e+04 4.903686209114703350e-21 3.261256678241464695e-22
3.179208478938189364e+04 4.751151465490771431e-21 2.794358682646553623e-22
3.191733860477199414e+04 6.544944825324614021e-21 3.032230063905606158e-22
3.204212238090795290e+04 6.734187196750154648e-21 3.500593359516393542e-22
3.216642880934069763e+04 6.079502532620169471e-21 3.280391941533346238e-22
3.229027324725626022e+04 5.400478417979329249e-21 3.543742867833434567e-22
3.241365254984177591e+04 5.456043168320542417e-21 3.259291270534384921e-22
3.253657488778791958e+04 5.390011416173809584e-21 3.436270117919569295e-22
3.265904687490859214e+04 5.756212713988662474e-21 3.357709674649729018e-22
3.278106400010416110e+04 5.410246977528111926e-21 3.610717236347281118e-22
3.290264803788455174e+04 6.285293102351243872e-21 3.610458352036867502e-22
3.302377649078833201e+04 5.271739651430455217e-21 3.527658501618918448e-22
3.314448221373590786e+04 6.057846437975534946e-21 3.593931452593439327e-22
3.326474748696253664e+04 4.737713186342235230e-21 3.244186560545226648e-22
3.338458800185881410e+04 5.882976624668487566e-21 3.090958291496249031e-22
3.350401134851659299e+04 5.763929103539020449e-21 3.713276671358238434e-22
3.362300237046987604e+04 4.915279228911595647e-21 3.574753496108387609e-22
3.374158819920656242e+04 5.275949975675475538e-21 3.480681142078551955e-22
3.385975859527738066e+04 4.593803122944933921e-21 3.661234548260375857e-22
3.397751723039126227e+04 5.706615311874181570e-21 3.673437289722699726e-22
3.409488064879940066e+04 6.606088685814631171e-21 3.538869752722195682e-22
3.421183557831813232e+04 5.709181089207589359e-21 3.321215332404431016e-22
3.432839343631291558e+04 5.440577115108393925e-21 3.106367008809068231e-22
3.444456576632737415e+04 5.804899184901916311e-21 3.542312400646472349e-22
3.456034150967321330e+04 5.217812258980756222e-21 3.349596480331180735e-22
3.467572926265902788e+04 5.222450818402449805e-21 3.677506945758189080e-22
3.479074089545125025e+04 6.204933616122967764e-21 3.167668051411341638e-22
3.490537256252452789e+04 4.971464690566721364e-21 3.191764856041370824e-22
3.501961996863946842e+04 5.554924418344045373e-21 3.292276043025868580e-22
3.513350038846781536e+04 5.134084075465351538e-21 3.645991612059732319e-22
3.524701660655798332e+04 5.963315503724351672e-21 3.222890909998394326e-22
3.536015788001035980e+04 5.612894064102784230e-21 3.605680744272258162e-22
3.547293568854911427e+04 5.470345487103540124e-21 3.132821624066481973e-22
3.558535808292295405e+04 5.058663651162293346e-21 3.197607687488663840e-22
3.569742774430693680e+04 5.349854738047370947e-21 3.517627182081442762e-22
3.580913541286857799e+04 5.693364395055401249e-21 3.263414132465045113e-22
3.592049146998538345e+04 6.214278367737602660e-21 3.451762091049253383e-22
3.603150324759716750e+04 5.703773745492414529e-21 2.952065234416896640e-22
3.614217332713789801e+04 5.243914909354594921e-21 3.042607423684537665e-22
3.625250181637184869e+04 5.837993316179920195e-21 3.255096843745831820e-22
3.636248212296562269e+04 5.535531447235529750e-21 3.530571944182162700e-22
3.647212886317979428e+04 5.872197755427699800e-21 3.371256244905134267e-22
3.658144452234757046e+04 6.247384096156165488e-21 3.276788167910481437e-22
3.669043156393206300e+04 6.497219006244005320e-21 3.536999849722426325e-22
3.679909242971763888e+04 6.113880298434472341e-21 3.349385104358479594e-22
3.690742029395759891e+04 5.690753403279214959e-21 3.284869143355681200e-22
3.701542495028272970e+04 6.353010312575103690e-21 3.469067612414466295e-22
3.712311111233734118e+04 6.699574956608769194e-21 3.384345321068646796e-22
3.723048113105894299e+04 6.539247922343892937e-21 3.126435609634490180e-22
3.733753733670947258e+04 7.020509678181760322e-21 3.442524066906189477e-22
3.744428203906394629e+04 6.792763841705374133e-21 3.428574659390453049e-22
3.755071752759037918e+04 6.373871471236023817e-21 3.938515172506768243e-22
3.765683777890645433e+04 6.223455770231041351e-21 3.895193844857921100e-22
3.776265368425213819e+04 6.096046011181362249e-21 3.374718277371502627e-22
3.786816756725588493e+04 6.584429294527520791e-21 3.646353816285132681e-22
3.797338163247585908e+04 6.008960539872553235e-21 3.666771020665511919e-22
3.807829806513945368e+04 6.990376143215849744e-21 3.792317337625047952e-22
3.818291903132204607e+04 6.410935949790098735e-21 3.997128625101551180e-22
3.828724667812583357e+04 5.229984084764729528e-21 3.753068400220472648e-22
3.839128313385658839e+04 5.488106160438877427e-21 3.150973232017080877e-22
3.849503050819716736e+04 6.327507957551457204e-21 3.620338132133690887e-22
3.859849089238598390e+04 6.393895992507711625e-21 3.609301389346229726e-22
3.870166521523167467e+04 6.528453921392600441e-21 3.548348119794042735e-22
3.880455394811633596e+04 6.528245108218631667e-21 3.723117657562538945e-22
3.890716224581967981e+04 6.601962114002930810e-21 3.591051662936992272e-22
3.900949212262914079e+04 5.825698793982351798e-21 3.561936954561279776e-22
3.911154557529914018e+04 6.460944816277257883e-21 3.610311460586818275e-22
3.921332458322084858e+04 7.688480922072997180e-21 3.586332872201845556e-22
3.931483110858459258e+04 6.877635623585669839e-21 3.621780388499681979e-22
3.941606709654780570e+04 6.707407253888260592e-21 3.545796649426634238e-22
3.951703447539571789e+04 7.005754151783807687e-21 3.885276025589457512e-22
3.961773515670547204e+04 6.164701851394893067e-21 3.533554633193496561e-22
3.971817103550607862e+04 7.557200566386869787e-21 3.542536866612931748e-22
3.981834399043831945e+04 6.691464717284662012e-21 3.568798386372673504e-22
3.991825588391357451e+04 5.683293099382531464e-21 4.226392227438520267e-22
4.001790856227200857e+04 6.400255308417547298e-21 3.782258094897660379e-22
4.011730385593518440e+04 6.818988400189649758e-21 3.354254603797611067e-22
4.021644357956315071e+04 6.904262949363359158e-21 3.863279465254367443e-22
4.031532953220765921e+04 8.099942111573058516e-21 3.677324167510628428e-22
4.041396349746307533e+04 6.401287349567702230e-21 4.138358665200831270e-22
4.051234724361735425e+04 6.929590075393855030e-21 4.044538371769893026e-22
4.061048252380347549e+04 7.027224481638489687e-21 3.777642837333008699e-22
4.070837107614325942e+04 7.343537261520522700e-21 3.752504762138500795e-22
4.080601462389873632e+04 7.026335206700875998e-21 3.900953875049429074e-22
4.090341487561415124e+04 7.320177336957648575e-21 4.164996879061616769e-22
4.100057315269146784e+04 6.010607711272931475e-21 3.667818720265579979e-22
4.109748791450949648e+04 6.831757788545928776e-21 4.092959372316294182e-22
4.119416412744418631e+04 7.990574731507623009e-21 4.390718821850866038e-22
4.129060344628858002e+04 6.334154589475701286e-21 4.356507598100304106e-22
4.138680751177974162e+04 7.600447083787559291e-21 4.260826326887379493e-22
4.148277795074116875e+04 7.331013044950462014e-21 4.474049358546950324e-22
4.157851637621546979e+04 7.289395194776562021e-21 3.912002447823705789e-22
4.167402438760500081e+04 6.224011650441656145e-21 4.080157845202014680e-22
4.176930357080016984e+04 6.363084872752360051e-21 3.890362180329512789e-22
4.186435549831879325e+04 7.107472784626434079e-21 4.544196445978492072e-22
4.195918172943366517e+04 6.414686599607068664e-21 4.373649753785865107e-22
4.205378381030458695e+04 7.121240439133302594e-21 4.040658675053371671e-22
4.214815983598227467e+04 6.060459447492677268e-21 3.777146336794341016e-22
4.224231084523240861e+04 6.673082777962272309e-21 3.643496252725626809e-22
4.233624201497723698e+04 7.300772337706981493e-21 4.359047320374571683e-22
4.242995484338392271e+04 7.942984998174654753e-21 4.476147695269814773e-22
4.252345081610191119e+04 7.250750263349032931e-21 4.607856923505413163e-22
4.261673140638495533e+04 7.603994174513312349e-21 4.397230141004202229e-22
4.270979807521617477e+04 7.375515321402191016e-21 4.705680705808225752e-22
4.280265227142550430e+04 7.790411421938136669e-21 4.085400199131652382e-22
4.289528844588788343e+04 7.629905156485241145e-21 4.052089664733517371e-22
4.298771259425293829e+04 6.800831633917122925e-21 4.179444845560719082e-22
4.307992831878960715e+04 6.842523391167230705e-21 4.199610586953442656e-22
4.317193702379349997e+04 7.160683817307932648e-21 4.374473882747118386e-22
4.326374010196125164e+04 7.135421683690965492e-21 4.062460627269058286e-22
4.335533893450386677e+04 7.039139137043170656e-21 4.372089878521324332e-22
4.344672973350450047e+04 8.010100433261542183e-21 4.544476181868126213e-22
4.353791333082108031e+04 7.576676233144751485e-21 4.653230791128938562e-22
4.362889654920018802e+04 8.700156008256383024e-21 4.503321273675472169e-22
4.371968072771342850e+04 8.496118556761463399e-21 4.343772804915141760e-22
4.381026719447162031e+04 6.825398311311878837e-21 4.228646246600514301e-22
4.390065694046129647e+04 7.842182564885496883e-21 4.561108946222462716e-22
4.399083993505605031e+04 8.244026291850748228e-21 4.402088238693051351e-22
4.408082894150533684e+04 6.945616769298145237e-21 3.791238414646070493e-22
4.417062524765518901e+04 8.749393983026678418e-21 4.985645364689051382e-22
4.426023013088808511e+04 8.968574165200831314e-21 4.851990721599393840e-22
4.434964329242485837e+04 7.745045505411901023e-21 4.585272716508348452e-22
4.443885604758450063e+04 7.323638973028191091e-21 4.572856305662109156e-22
4.452788096659742587e+04 8.778721001030621946e-21 4.638531249167238007e-22
4.461671928837270389e+04 9.128875868518971743e-21 4.985110847893643233e-22
4.470537224183145008e+04 8.383357766232872203e-21 4.920712926791784556e-22
4.479383247928752826e+04 8.126389657292073335e-21 4.868827045835316137e-22
4.488210424757318106e+04 7.454702003389737567e-21 4.581204951230912246e-22
4.497019410342907941e+04 8.874810582208673919e-21 4.504026992732385027e-22
4.505810323901334050e+04 1.013721912751927543e-20 5.233364320149913805e-22
4.514582669969584094e+04 9.258958721278659447e-21 4.925844727956133128e-22
4.523336303480989591e+04 9.071692702190045587e-21 5.142356852736686630e-22
4.532072200628168503e+04 8.561890182738828408e-21 5.051331140556997717e-22
4.540790477079559059e+04 9.177566874232031267e-21 4.739271588687003620e-22
4.549490526740429050e+04 1.011336996049637473e-20 5.158776722223515550e-22
4.558172338561299694e+04 9.012902011574214663e-21 4.700686220661144382e-22
4.566836855762558116e+04 8.301038067178202532e-21 4.806460291776250563e-22
4.575484190589440550e+04 8.648574420774209363e-21 4.940520278421576174e-22
4.584113290000044799e+04 9.615386418057003514e-21 5.197915752125313288e-22
4.592724953322787769e+04 8.513792379412261192e-21 5.006745475172382677e-22
4.601319751087157783e+04 8.040758762451939494e-21 5.094018583541958659e-22
4.609897556984281255e+04 9.791648971869060958e-21 5.643007182046016562e-22
4.618457253532579489e+04 8.206846323953434380e-21 5.434925582770572322e-22
4.627000394749181578e+04 8.384238704344358891e-21 5.251927109268402106e-22
4.635527087220369140e+04 8.754309848731789044e-21 5.400069241544274116e-22
4.644036191538028652e+04 9.452132810688213743e-21 5.429507802021703315e-22
4.652528539057812304e+04 8.235396360985444545e-21 5.250542304549368149e-22
4.661004739335970226e+04 7.997090995186731935e-21 5.671289914818536850e-22
4.669464155009012029e+04 8.416760717964459449e-21 5.614154990678940587e-22
4.677906554444896028e+04 8.838021866293544586e-21 4.845730410627252313e-22
4.686333101932486170e+04 8.872298573369738591e-21 5.132087720341643976e-22
4.694743485260482703e+04 8.502873132603668878e-21 5.412998336988914520e-22
4.703136765402335732e+04 9.156384114998780754e-21 5.560447799862066749e-22
4.711514482831491478e+04 8.011257886538560695e-21 5.244033625611026962e-22
4.719876478345952637e+04 9.396426000209914390e-21 5.293588536966040452e-22
4.728221451564357994e+04 8.456425118562447744e-21 5.587269259775733524e-22
4.736551145396610082e+04 8.361093780999026263e-21 5.695424196162160198e-22
4.744865386122373457e+04 8.353737228916104081e-21 5.947254247773980069e-22
4.753162848762511567e+04 9.119749544635910129e-21 5.784151072513893120e-22
4.761445309578604792e+04 9.817266115223817565e-21 5.617127306357531702e-22
4.769712417288561119e+04 8.451470047480529486e-21 5.854207807870782633e-22
4.777963150053448771e+04 8.320315071984415008e-21 5.657616959338420642e-22
4.786199152933149890e+04 8.093276832961882171e-21 5.561652448604561600e-22
4.794419738396920729e+04 9.884547149014331470e-21 5.792063164833284628e-22
4.802624506721175567e+04 9.150283659443189138e-21 5.615102828238881556e-22
4.810814811612998164e+04 9.046487010813533724e-21 5.596925375930996272e-22
4.818989474839694594e+04 8.674883553191410330e-21 5.729716892046457586e-22
4.827149029253289336e+04 9.396313147627153808e-21 5.923594465165806961e-22
4.835294381334762875e+04 7.739829257746759360e-21 5.466274354641266409e-22
4.843423711809555971e+04 7.443288109095856815e-21 5.702578281871281450e-22
4.851538788292363461e+04 8.117670669462154565e-21 5.690482139611839310e-22
4.859639393175952864e+04 7.205673857862434062e-21 5.933518678998604191e-22
4.867724495236378425e+04 7.095677151174829398e-21 6.025121261293387397e-22
4.875795815563281212e+04 8.739887112172687785e-21 5.859579349406561483e-22
4.883852026478931657e+04 8.848805198125324124e-21 6.023232559536121309e-22
4.891893832699194172e+04 7.653382309451591669e-21 5.659480397057991360e-22
4.899921900425248168e+04 7.533516753018817605e-21 5.633735721168373683e-22
4.907934484673890984e+04 8.070339687178027182e-21 5.656177567769229986e-22
4.915933694315802859e+04 7.123687790260380711e-21 6.275112849222882430e-22
4.923918280656388379e+04 7.866598101406790100e-21 5.862257724625563285e-22
4.931888714623433771e+04 8.851229274406745885e-21 6.069534176332320088e-22
4.939845724119263468e+04 7.500998917740190152e-21 6.143705393802501405e-22
4.947787665838730027e+04 7.667520407503039030e-21 6.280096472775256547e-22
4.955716627125457308e+04 7.444359550455885505e-21 5.964735359039403010e-22
4.963631042530301056e+04 8.329711694836390407e-21 6.576934751582184942e-22
4.971531944369824487e+04 9.147282321616275402e-21 6.119470798518327352e-22
4.979419333772567188e+04 9.141232974449035089e-21 5.927158432415096528e-22
4.987292451204200916e+04 7.906706348355009394e-21 6.301854138077859177e-22
4.995152969921833574e+04 7.460779759150827652e-21 6.110052774658249161e-22
5.002998628117799672e+04 6.926028145472743051e-21 5.727234747818425453e-22
5.010831782232702244e+04 8.683850303624896238e-21 6.276654288168225926e-22
5.018650950300283876e+04 8.207865096008526666e-21 6.269761438115620998e-22
5.026457006770552107e+04 7.894852391917560421e-21 6.455890902564950873e-22
5.034249887714042416e+04 8.318405412427723924e-21 6.661907305720095417e-22
5.042029110445742845e+04 8.299946886371972586e-21 6.229077526463969731e-22
5.049795905165853765e+04 9.444759722495524312e-21 6.454254388414284626e-22
5.057548555055775068e+04 8.262700721284965903e-21 6.627618883237900048e-22
5.065289261015450029e+04 8.252830044281260193e-21 6.771598855357621191e-22
5.073015797354721872e+04 7.809948356323215694e-21 6.526363131712069633e-22
5.080730328361183638e+04 8.417423073777568927e-21 6.763460746705249993e-22
5.088431289122067392e+04 7.984799544634276301e-21 6.544321974303080567e-22
5.096119898503702279e+04 9.094321734445336082e-21 6.529376006626078570e-22
